"user_id","user_profile","cleaning_metrics","device_status","usage_summary","month"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:85%\n日均清扫:45m²\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余60天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成24次清扫。","2025-01"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率:86%\n避障失败:4次/月（电线缠绕）","边刷磨损:中度\n尘盒清理:每4天","瓷砖区域清洁效果良好，建议收纳地面电线并检查边刷。","2025-01"
"1003","90m² | 1狗 | 短毛地毯","毛发清理:89%\n地毯增压使用:12次/月","胶刷更换:剩余50天\n尘盒容量:每2天清理","毛发处理效率较高，建议每周清理胶刷两端和地毯纤维。","2025-01"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:86%","主刷缠绕:严重\n滤网寿命:剩余70天","猫砂和毛发较多，建议提高尘盒清理频率并启用宠物模式。","2025-01"
"1005","120m² | 老人 | 防滑砖","手动操作占比:94%\n定时清扫使用:1次/周","电池衰减:25%\n水箱使用率:35%","建议保留固定定时任务，并检查电池续航和语音提示音量。","2025-01"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败:4次/月\n玩具避障率:72%","边刷寿命:剩余80天\n集尘袋消耗:1.2个/月","多楼层任务总体稳定，建议分层保存地图并在儿童活动区先收纳玩具。","2025-01"
"1007","55m²一居 | 独居 | 复合地板","覆盖率:90%\n日均清扫:34m²\n沿边清扫:无死角","滤网寿命:剩余80天\n尘盒清理:每5天","小户型覆盖完整，可继续使用标准吸力和工作日定时清扫。","2025-01"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率:86%\n餐桌区域漏扫:2次/周\n避障成功率:90%","主刷磨损:轻度\n水箱加水:每3天","公共区域使用频繁，建议餐后执行局部清扫并定期清洁万向轮。","2025-01"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理:84%\n自动回充成功率:91%","胶刷缠绕:中度\n滤网更换:剩余75天","养宠家庭中毛发清理表现稳定，建议每周清理胶刷和滤网。","2025-01"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率:81%\n手动辅助清扫:4次/月\n定时清扫使用率:55%","电池衰减:14%\n边刷寿命:剩余90天","大户型续航基本满足需求，建议启用断点续扫并按房间安排清扫顺序。","2025-01"
"1001","65m²公寓 | 单身 | 木地板","覆盖率:86%\n日均清扫:46m²\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余57天\nHEPA滤网:状态良好","木地板清扫稳定，建议保持低水量拖地；本月完成25次清扫。","2025-02"
